session_id,customer_id,session_date,channel,device_type,pages_viewed,session_duration_sec,bounced,converted
S001,C001,2023-01-04,organic,desktop,8,420,false,true
S002,C002,2023-01-07,paid_search,mobile,3,180,false,true
S003,C003,2023-01-11,organic,desktop,12,650,false,true
S004,C004,2023-01-24,social,mobile,2,90,true,false
S005,C005,2023-02-01,organic,desktop,6,380,false,true
S006,C001,2023-02-10,email,desktop,5,280,false,false
S007,C006,2023-02-09,email,desktop,7,400,false,true
S008,C007,2023-02-14,paid_search,desktop,9,520,false,true
S009,C002,2023-02-19,social,mobile,4,200,false,true
S010,C008,2023-02-27,organic,desktop,6,350,false,true
S011,C009,2023-03-09,organic,desktop,10,580,false,true
S012,C010,2023-03-14,referral,mobile,5,300,false,true
S013,C011,2023-03-31,email,desktop,8,450,false,true
S014,C005,2023-03-21,paid_search,mobile,3,150,false,true
S015,C012,2023-04-14,social,mobile,2,120,true,false
S016,C013,2023-04-19,organic,desktop,11,600,false,true
S017,C001,2023-04-27,email,desktop,6,320,false,true
S018,C014,2023-05-04,social,mobile,1,45,true,false
S019,C007,2023-05-11,organic,desktop,7,410,false,true
S020,C015,2023-05-17,referral,desktop,9,490,false,true
S021,C016,2023-06-01,paid_search,desktop,5,280,false,true
S022,C017,2023-06-17,social,mobile,4,220,false,true
S023,C008,2023-06-24,organic,desktop,8,430,false,true
S024,C018,2023-07-02,email,desktop,7,380,false,true
S025,C019,2023-07-17,social,mobile,3,170,false,true
S026,C001,2023-07-09,organic,desktop,10,550,false,true
S027,C009,2023-07-24,referral,desktop,6,340,false,true
S028,C020,2023-08-01,paid_search,mobile,4,210,false,true
S029,C011,2023-08-09,email,desktop,8,440,false,true
S030,C013,2023-08-17,organic,desktop,9,500,false,true
